AREA,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 15,Goal 16,RANK 2019,SCORE 2019,SCORE 2018
"India",50,35,61,58,42,88,70,64,65,64,53,55,60,66,72,"",60,57
"Kerala",64,74,82,74,51,77,70,61,88,75,51,57,56,98,77,1,70,69
"Himachal Pradesh",60,44,67,81,52,82,64,76,70,78,79,52,61,92,84,2,69,69
"Andhra Pradesh",69,35,76,52,37,96,86,78,66,68,36,57,70,86,86,3,67,64
"Tamil Nadu",72,48,76,70,40,90,90,74,53,65,51,63,45,91,78,3,67,66
"Telangana",52,36,66,64,26,84,93,82,61,94,62,58,66,88,77,3,67,61
"Karnataka",49,37,72,67,42,88,86,78,40,70,48,72,71,89,75,6,66,64
"Goa",53,76,60,71,46,77,95,71,45,19,79,63,41,99,79,7,65,64
"Sikkim",65,66,59,58,49,79,97,68,27,64,74,60,38,100,69,7,65,58
"Gujarat",47,39,67,47,36,92,75,75,88,59,77,33,63,77,86,9,64,64
"Maharashtra",47,34,76,65,41,93,82,70,59,70,45,71,50,85,72,9,64,64
"Uttarakhand",64,45,58,66,38,90,78,73,55,59,51,50,59,95,85,9,64,60
"Punjab",48,61,71,67,46,74,89,65,69,50,61,35,57,59,83,12,62,60
"Manipur",42,69,62,70,34,87,72,27,43,81,28,85,37,100,70,13,60,59
"West Bengal",52,40,70,50,38,83,58,72,68,73,34,57,37,88,73,13,60,56
"Madhya Pradesh",40,24,50,54,45,92,62,67,44,68,55,58,47,94,63,15,58,52
"Odisha",47,34,61,40,35,85,50,59,72,69,51,44,69,99,61,15,58,51
"Tripura",70,49,61,55,32,69,56,63,48,45,31,92,37,88,73,15,58,55
"Haryana",47,43,65,68,36,81,77,71,73,54,49,39,34,40,76,18,57,55
"Nagaland",56,70,29,47,42,75,70,28,23,61,23,100,51,94,84,18,57,51
"Rajasthan",56,35,58,51,39,76,61,65,38,70,61,30,60,75,76,18,57,59
"Chhattisgarh",49,27,52,52,43,92,56,67,38,60,49,58,29,97,71,21,56,58
"Mizoram",67,75,52,61,37,81,81,42,8,66,33,50,45,75,63,21,56,59
"Assam",48,39,44,44,33,78,70,62,46,67,40,68,47,90,52,23,55,49
"Uttar Pradesh",40,31,34,48,41,94,63,64,63,46,56,62,48,62,69,23,55,42
"Meghalaya",68,35,53,55,34,70,52,65,22,76,22,60,36,99,59,25,54,52
"Arunachal Pradesh",34,66,50,58,33,88,74,52,31,38,43,67,31,71,62,26,53,51
"Jharkhand",28,22,55,42,34,78,50,70,70,64,57,36,27,99,67,26,53,50
"Bihar",33,26,44,19,40,81,62,64,47,74,50,47,43,54,64,28,50,48
