,States,Population
UT5,A.& N.Islands,417036
10,Andhra Pradesh,53903393
26,Arunachal Pradesh,1570458
15,Assam,35607039
2,Bihar,124799926
UT3,Chandigarh,1158473
17,Chhattisgarh,29436231
UT4,Dadra & Nagar Haveli and Daman & Diu,615724
NCT,Delhi,18710922
25,Goa,1586250
9,Gujarat,63872399
18,Haryana,28204692
20,Himachal Pradesh,7451955
UT1,Jammu & Kashmir,13606320
13,Jharkhand,38593948
8,Karnataka,67562686
14,Kerala,35699443
UT6,Ladakh,289023
UT7,Lakshadweep,73183
5,Madhya Pradesh,85358965
3,Maharashtra,123144223
23,Manipur,3091545
22,Meghalaya,3366710
27,Mizoram,1239244
24,Nagaland,2249695
11,Odisha,46356334
UT2,Puducherry,1413542
16,Punjab,30141373
6,Rajasthan,81032689
28,Sikkim,690251
7,Tamil Nadu,77841267
12,Telangana,39362732
21,Tripura,4169794
1,Uttar Pradesh,237882725
19,Uttarakhand,11250858
4,West Bengal,99609303
